"nx="          60
"nz="         160
"along_track[km]"
  0.050  0.150  0.250  0.350  0.450  0.550  0.650  0.750  0.850  0.950  1.050  1.150  1.250  1.350  1.450  1.550  1.650  1.750  1.850  1.950  2.050  2.150  2.250  2.350  2.450  2.550  2.650  2.750  2.850  2.950  3.050  3.150  3.250  3.350  3.450  3.550  3.650  3.750  3.850  3.950  4.050  4.150  4.250  4.350  4.450  4.550  4.650  4.750  4.850  4.950  5.050  5.150  5.250  5.350  5.450  5.550  5.650  5.750  5.850  5.950
"z[km]"
  0.013  0.038  0.062  0.088  0.113  0.138  0.163  0.188  0.213  0.238  0.262  0.287  0.312  0.338  0.362  0.387  0.412  0.438  0.463  0.487  0.512  0.538  0.562  0.587  0.613  0.637  0.663  0.688  0.712  0.738  0.762  0.788  0.812  0.837  0.863  0.887  0.913  0.938  0.962  0.988  1.013  1.038  1.063  1.088  1.113  1.138  1.163  1.188  1.213  1.238  1.263  1.288  1.313  1.338  1.363  1.388  1.413  1.438  1.463  1.488  1.513  1.538  1.563  1.588  1.613  1.638  1.663  1.688  1.713  1.738  1.763  1.788  1.813  1.838  1.863  1.888  1.913  1.938  1.963  1.988  2.013  2.038  2.062  2.088  2.113  2.138  2.163  2.188  2.213  2.238  2.263  2.288  2.312  2.338  2.363  2.388  2.413  2.438  2.463  2.488  2.513  2.538  2.562  2.588  2.613  2.638  2.663  2.688  2.713  2.738  2.763  2.788  2.812  2.838  2.863  2.888  2.913  2.938  2.963  2.988  3.013  3.038  3.062  3.088  3.113  3.138  3.163  3.188  3.213  3.238  3.263  3.288  3.312  3.338  3.363  3.388  3.413  3.438  3.463  3.488  3.513  3.538  3.562  3.588  3.613  3.638  3.663  3.688  3.713  3.738  3.763  3.788  3.812  3.838  3.863  3.888  3.913  3.938  3.963  3.988
 "Freq[GHz]=" 22.24 23.04 23.84 25.44 26.24 27.84 31.40 51.26 52.28 53.86 54.94 56.66 57.30 58.00
"along_track[km]="    0.0500000
"z[km]       No[1/cm3]      Ext[1/m]      LWC[g/m3] "
  1.6375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.6625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.6875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9875e+00  0.0000e+00  0.0000e+00  0.0000e+00
"along_track[km]="     0.150000
"z[km]       No[1/cm3]      Ext[1/m]      LWC [g/m3] "
  1.2500e-02  0.0000e+00  0.0000e+00  0.0000e+00
  3.7500e-02  0.0000e+00  0.0000e+00  0.0000e+00
  6.2500e-02  0.0000e+00  0.0000e+00  0.0000e+00
  8.7500e-02  7.1100e-08  5.6262e-10  2.4681e-08
  1.1250e-01  7.9174e-07  6.1268e-09  2.6539e-07
  1.3750e-01  2.5014e-06  1.8893e-08  8.0718e-07
  1.6250e-01  6.1978e-06  4.5717e-08  1.9271e-06
  1.8750e-01  1.0908e-05  7.8725e-08  3.2775e-06
  2.1250e-01  1.5670e-05  1.1217e-07  4.6487e-06
  2.3750e-01  2.1845e-05  1.5637e-07  6.4810e-06
  2.6250e-01  3.1248e-05  2.2271e-07  9.2079e-06
  2.8750e-01  4.5576e-05  3.2337e-07  1.3337e-05
  3.1250e-01  7.1631e-05  5.0083e-07  2.0495e-05
  3.3750e-01  1.2644e-04  8.5389e-07  3.4284e-05
  3.6250e-01  6.3377e+01  6.1462e-03  1.8433e-02
  3.8750e-01  8.4406e+01  1.3308e-02  5.1890e-02
  4.1250e-01  8.4391e+01  1.7011e-02  7.5719e-02
  4.3750e-01  8.4386e+01  1.9632e-02  9.4511e-02
  4.6250e-01  8.4383e+01  2.2301e-02  1.1488e-01
  4.8750e-01  8.4380e+01  2.6506e-02  1.4891e-01
  5.1250e-01  8.4378e+01  3.1235e-02  1.9104e-01
  5.3750e-01  8.4378e+01  3.3816e-02  2.1633e-01
  5.6250e-01  8.4377e+01  3.8282e-02  2.6260e-01
  5.8750e-01  3.1641e+01  1.8894e-02  1.4829e-01
  6.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  6.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  6.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  6.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  9.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  9.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  9.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  9.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  1.0125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.0375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.0625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.0875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.1125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.1375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.1625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.1875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.2125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.2375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.2625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.2875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.3125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.3375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.3625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.3875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.4125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.4375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.4625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.4875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.5125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.5375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.5625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.5875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.6125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.6375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.6625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.6875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.7875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.8875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  1.9875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.0875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.1875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.2875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.3875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.4875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.5875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.6875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.7875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.8875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  2.9875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.0875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.1875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.2875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.3875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.4875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.5875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.6875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.7875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.8875e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9125e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9375e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9625e+00  0.0000e+00  0.0000e+00  0.0000e+00
  3.9875e+00  0.0000e+00  0.0000e+00  0.0000e+00
"along_track[km]="     0.250000
"z[km]       No[1/cm3]      Ext[1/m]      LWC [g/m3] "
  1.2500e-02  1.1126e-06  8.1146e-09  3.3990e-07
  3.7500e-02  1.6826e-06  1.2541e-08  5.3184e-07
  6.2500e-02  2.5354e-06  1.9289e-08  8.2755e-07
  8.7500e-02  4.1438e-06  3.1923e-08  1.3793e-06
  1.1250e-01  7.3975e-06  5.7237e-08  2.4791e-06
  1.3750e-01  1.4263e-05  1.0978e-07  4.7414e-06
  1.6250e-01  3.0370e-05  2.2817e-07  9.7202e-06
  1.8750e-01  6.8115e-05  4.8717e-07  2.0179e-05
  2.1250e-01  1.3487e-04  9.1744e-07  3.6927e-05
  2.3750e-01  2.3446e-04  1.5280e-06  6.0019e-05
  2.6250e-01  3.7291e-04  2.3401e-06  8.9953e-05
  2.8750e-01  5.1166e-04  3.1478e-06  1.1967e-04
  3.1250e-01  6.7802e-04  4.1076e-06  1.5476e-04
  3.3750e-01  8.5684e-04  5.0124e-06  1.8502e-04
  3.6250e-01  8.7637e-04  5.0084e-06  1.8238e-04
  3.8750e-01  8.4512e+01  8.1611e-03  2.4618e-02
  4.1250e-01  8.4412e+01  1.2626e-02  4.7926e-02
  4.3750e-01  8.4392e+01  1.6356e-02  7.1165e-02
  4.6250e-01  8.4385e+01  1.9959e-02  9.6556e-02
  4.8750e-01  8.4381e+01  2.3893e-02  1.2742e-01
  5.1250e-01  8.4380e+01  2.6334e-02  1.4779e-01
  5.3750e-01  8.4380e+01  2.4603e-02  1.3272e-01
  5.6250e-01  8.4386e+01  2.0842e-02  1.0506e-01
  5.8750e-01  9.5503e-05  4.5929e-07  1.5134e-05
  6.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  6.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  6.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  6.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  7.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.6250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  8.8750e-01  0.0000e+00  0.0000e+00  0.0000e+00
  9.1250e-01  0.0000e+00  0.0000e+00  0.0000e+00
  9.3750e-01  0.0000e+00  0.0000e+00  0.0000e+00
